,zip_code,distance,city,state
41,90702,16.692,"""Artesia""","""CA"""
381,91406,16.695,"""Van Nuys""","""CA"""
264,91706,16.714000000000002,"""Baldwin Park""","""CA"""
251,90272,16.730999999999998,"""Pacific Palisades""","""CA"""
151,91716,16.743,"""City Of Industry""","""CA"""
385,91410,16.848,"""Van Nuys""","""CA"""
384,91409,16.848,"""Van Nuys""","""CA"""
93,90603,16.849,"""Whittier""","""CA"""
413,91331,16.914,"""Pacoima""","""CA"""
248,91797,16.993,"""Pomona""","""CA"""
415,91333,17.141,"""Pacoima""","""CA"""
22,90277,17.167,"""Redondo Beach""","""CA"""
346,91185,17.387,"""Pasadena""","""CA"""
180,91749,17.523,"""La Puente""","""CA"""
12,90806,17.532,"""Long Beach""","""CA"""
69,90638,17.548,"""La Mirada""","""CA"""
67,90639,17.578,"""La Mirada""","""CA"""
14,90842,17.645,"""Long Beach""","""CA"""
10,90710,17.655,"""Harbor City""","""CA"""
165,91714,17.703,"""City Of Industry""","""CA"""
293,91009,17.705,"""Duarte""","""CA"""
13,90505,17.744,"""Torrance""","""CA"""
34,90715,17.775,"""Lakewood""","""CA"""
330,91008,17.794,"""Duarte""","""CA"""
20,90808,17.838,"""Long Beach""","""CA"""
11,90755,17.918,"""Signal Hill""","""CA"""
411,91395,17.972,"""Mission Hills""","""CA"""
314,91010,18.084,"""Duarte""","""CA"""
18,90846,18.111,"""Long Beach""","""CA"""
332,91356,18.178,"""Tarzana""","""CA"""
171,91747,18.186,"""La Puente""","""CA"""
356,91357,18.188,"""Tarzana""","""CA"""
234,91790,18.227999999999998,"""West Covina""","""CA"""
409,91343,18.237000000000002,"""North Hills""","""CA"""
8,90717,18.25,"""Lomita""","""CA"""
183,91744,18.299,"""La Puente""","""CA"""
62,90637,18.442,"""La Mirada""","""CA"""
414,91346,18.502,"""Mission Hills""","""CA"""
28,90716,18.562,"""Hawaiian Gardens""","""CA"""
39,90623,18.648,"""La Palma""","""CA"""
422,91042,18.665,"""Tujunga""","""CA"""
418,91345,18.694000000000003,"""Mission Hills""","""CA"""
383,91337,18.729,"""Reseda""","""CA"""
5,90748,18.858,"""Wilmington""","""CA"""
4,90744,18.907,"""Wilmington""","""CA"""
419,91341,18.926,"""San Fernando""","""CA"""
91,90631,18.928,"""La Habra""","""CA"""
7,90813,18.995,"""Long Beach""","""CA"""
420,91340,19.151,"""San Fernando""","""CA"""
225,91793,19.192999999999998,"""West Covina""","""CA"""
392,91335,19.261,"""Reseda""","""CA"""
51,90621,19.43,"""Buena Park""","""CA"""
399,91328,19.512,"""Northridge""","""CA"""
9,90815,19.551,"""Long Beach""","""CA"""
408,91325,19.694000000000003,"""Northridge""","""CA"""
6,90804,19.708,"""Long Beach""","""CA"""
421,91392,19.781,"""Sylmar""","""CA"""
35,90620,19.855999999999998,"""Buena Park""","""CA"""
1,90831,19.895,"""Long Beach""","""CA"""
3,90899,19.9,"""Long Beach""","""CA"""
2,90844,19.9,"""Long Beach""","""CA"""
84,90633,19.95,"""La Habra""","""CA"""
423,,,,
